distribution,order_size,condition_index,seed,order,exact_distance,exact_runtime,s_shape_distance,s_shape_gap,s_shape_runtime,return_distance,return_gap,return_runtime,largest_gap_distance,largest_gap_gap,largest_gap_runtime,dqn_completed,dqn_truncated,dqn_all_items_collected,dqn_all_picked_no_finish,dqn_distance,dqn_partial_distance,dqn_gap,dqn_steps,dqn_valid_actions,dqn_invalid_actions,dqn_invalid_action_rate,dqn_items_collected,dqn_items_remaining,dqn_collection_fraction,dqn_runtime,dqn_improvement_vs_s_shape,dqn_improvement_vs_return,dqn_improvement_vs_largest_gap
uniform,5,35,500034,"[(1, 5), (2, 13), (5, 3), (10, 1), (10, 5)]",66.0,0.0005219578742980957,78.0,18.181818181818183,7.733423262834549e-05,80.0,21.21212121212121,7.483409717679024e-05,70.0,6.0606060606060606,7.599964737892151e-05,True,False,True,False,80.0,80.0,21.21212121212121,80,80,0,0.0,5,0,1.0,0.008482915814965963,-2.564102564102564,0.0,-14.285714285714285
uniform,5,36,500035,"[(1, 5), (3, 11), (5, 3), (7, 13), (12, 7)]",62.0,0.0005101668648421764,104.0,67.74193548387096,7.89170153439045e-05,82.0,32.25806451612903,7.66669400036335e-05,62.0,0.0,7.77081586420536e-05,True,False,True,False,82.0,82.0,32.25806451612903,82,82,0,0.0,5,0,1.0,0.00867170887067914,21.153846153846153,0.0,-32.25806451612903
uniform,5,37,500036,"[(1, 3), (5, 1), (7, 3), (11, 5), (12, 15)]",62.0,0.0005772500298917294,82.0,32.25806451612903,7.633306086063385e-05,100.0,61.29032258064516,7.54999928176403e-05,74.0,19.35483870967742,7.699988782405853e-05,True,False,True,False,100.0,100.0,61.29032258064516,100,100,0,0.0,5,0,1.0,0.010573916602879763,-21.951219512195124,0.0,-35.13513513513514
uniform,5,38,500037,"[(1, 3), (4, 3), (6, 15), (7, 9), (12, 9)]",64.0,0.0005740826018154621,82.0,28.125,7.791724056005478e-05,74.0,15.625,7.533328607678413e-05,68.0,6.25,7.554097101092339e-05,True,False,True,False,74.0,74.0,15.625,74,74,0,0.0,5,0,1.0,0.00782508309930563,9.75609756097561,0.0,-8.823529411764707
uniform,5,39,500038,"[(1, 3), (5, 3), (9, 11), (11, 7), (12, 13)]",58.0,0.0005089170299470425,78.0,34.48275862068966,7.745809853076935e-05,100.0,72.41379310344827,7.591722533106804e-05,64.0,10.344827586206897,7.595866918563843e-05,False,True,False,False,nan,250.0,nan,250,250,0,0.0,4,1,0.8,0.02648791577666998,nan,nan,nan
uniform,5,40,500039,"[(1, 9), (2, 7), (5, 3), (6, 15), (11, 13)]",66.0,0.0005760411731898785,108.0,63.63636363636363,7.679127156734467e-05,80.0,21.21212121212121,7.608393207192421e-05,66.0,0.0,7.72504135966301e-05,True,False,True,False,80.0,80.0,21.21212121212121,80,80,0,0.0,5,0,1.0,0.008468541782349348,25.925925925925924,0.0,-21.21212121212121
uniform,5,41,500040,"[(2, 9), (7, 11), (8, 9), (9, 15), (12, 3)]",76.0,0.0005713752470910549,82.0,7.894736842105263,7.683411240577698e-05,102.0,34.21052631578947,7.604202255606651e-05,82.0,7.894736842105263,7.575005292892456e-05,True,False,True,False,102.0,102.0,34.21052631578947,102,102,0,0.0,5,0,1.0,0.010859250091016293,-24.390243902439025,0.0,-24.390243902439025
uniform,5,42,500041,"[(3, 11), (4, 7), (7, 11), (11, 5), (12, 1)]",60.0,0.0004558749496936798,74.0,23.333333333333332,7.679173722863197e-05,90.0,50.0,7.379194721579552e-05,60.0,0.0,7.566623389720917e-05,False,True,False,False,nan,1.0,nan,250,1,249,99.6,0,5,0.0,0.026594124734401703,nan,nan,nan
uniform,5,43,500042,"[(3, 1), (9, 15), (10, 1), (11, 5), (11, 15)]",60.0,0.0005863751284778118,82.0,36.666666666666664,7.741572335362434e-05,94.0,56.666666666666664,7.483270019292831e-05,60.0,0.0,7.499987259507179e-05,True,False,True,False,94.0,94.0,56.666666666666664,94,94,0,0.0,5,0,1.0,0.010084375273436308,-14.634146341463413,0.0,-56.666666666666664
uniform,5,44,500043,"[(2, 9), (4, 5), (4, 15), (6, 15), (8, 3)]",68.0,0.0005696248263120651,82.0,20.588235294117645,7.845927029848099e-05,70.0,2.941176470588235,7.512513548135757e-05,68.0,0.0,7.533328607678413e-05,True,False,True,False,70.0,70.0,2.941176470588235,70,70,0,0.0,5,0,1.0,0.007449625059962273,14.634146341463413,0.0,-2.941176470588235
uniform,5,45,500044,"[(1, 13), (4, 15), (9, 7), (9, 15), (11, 13)]",62.0,0.0005697081796824932,82.0,32.25806451612903,7.808301597833633e-05,88.0,41.935483870967744,7.524993270635605e-05,62.0,0.0,7.591722533106804e-05,True,False,True,False,88.0,88.0,41.935483870967744,88,88,0,0.0,5,0,1.0,0.009364292025566101,-7.317073170731707,0.0,-41.935483870967744
uniform,5,46,500045,"[(3, 3), (3, 7), (10, 3), (10, 5), (11, 15)]",66.0,0.0005724579095840454,82.0,24.242424242424242,7.745809853076935e-05,98.0,48.484848484848484,7.520942017436028e-05,68.0,3.0303030303030303,7.524993270635605e-05,True,False,True,False,98.0,98.0,48.484848484848484,98,98,0,0.0,5,0,1.0,0.010381790809333324,-19.51219512195122,0.0,-44.11764705882353
uniform,5,47,500046,"[(1, 11), (2, 3), (8, 5), (9, 1), (9, 13)]",68.0,0.0005192919634282589,104.0,52.94117647058824,7.958337664604187e-05,84.0,23.52941176470588,7.629208266735077e-05,68.0,0.0,7.645925506949425e-05,True,False,True,False,84.0,84.0,23.52941176470588,84,84,0,0.0,5,0,1.0,0.009290332905948162,19.230769230769234,0.0,-23.52941176470588
uniform,5,48,500047,"[(1, 15), (3, 15), (6, 13), (8, 1), (10, 3)]",68.0,0.0006468752399086952,82.0,20.588235294117645,8.562533184885979e-05,84.0,23.52941176470588,7.745809853076935e-05,74.0,8.823529411764707,7.862458005547523e-05,False,True,False,False,nan,32.0,nan,250,32,218,87.2,2,3,0.4,0.027024167124181986,nan,nan,nan
uniform,5,49,500048,"[(1, 7), (2, 3), (3, 13), (11, 13), (12, 1)]",58.0,0.0006023328751325607,78.0,34.48275862068966,8.337479084730148e-05,78.0,34.48275862068966,7.908418774604797e-05,58.0,0.0,7.720803841948509e-05,True,False,True,False,78.0,78.0,34.48275862068966,78,78,0,0.0,5,0,1.0,0.00847908342257142,0.0,0.0,-34.48275862068966
uniform,5,50,500049,"[(4, 9), (6, 7), (12, 5), (12, 7), (12, 13)]",60.0,0.0005730828270316124,78.0,30.0,8.129188790917397e-05,106.0,76.66666666666667,7.88751058280468e-05,74.0,23.333333333333332,7.708277553319931e-05,False,True,False,False,nan,250.0,nan,250,250,0,0.0,0,5,0.0,0.02691479166969657,nan,nan,nan
uniform,10,1,510000,"[(1, 11), (2, 1), (3, 11), (4, 1), (4, 3), (4, 11), (6, 9), (8, 11), (9, 15), (12, 1)]",84.0,0.0006602080538868904,108.0,28.57142857142857,8.833315223455429e-05,108.0,28.57142857142857,8.225021883845329e-05,92.0,9.523809523809524,8.408306166529655e-05,True,False,True,False,108.0,108.0,28.57142857142857,108,108,0,0.0,10,0,1.0,0.014564416836947203,0.0,0.0,-17.391304347826086
uniform,10,2,510001,"[(1, 1), (3, 1), (4, 7), (6, 1), (7, 13), (8, 1), (8, 9), (9, 13), (10, 3), (11, 13)]",76.0,0.0006454996764659882,104.0,36.84210526315789,8.574966341257095e-05,108.0,42.10526315789473,8.333427831530571e-05,76.0,0.0,8.237501606345177e-05,True,False,True,False,108.0,108.0,42.10526315789473,108,108,0,0.0,10,0,1.0,0.012583874631673098,-3.8461538461538463,0.0,-42.10526315789473
uniform,10,3,510002,"[(1, 11), (1, 15), (3, 5), (3, 13), (5, 11), (5, 13), (6, 1), (7, 11), (8, 5), (9, 7)]",88.0,0.0007825000211596489,108.0,22.727272727272727,9.762495756149292e-05,102.0,15.909090909090908,0.00010266667231917381,104.0,18.181818181818183,0.00012562517076730728,True,False,True,False,102.0,102.0,15.909090909090908,102,102,0,0.0,10,0,1.0,0.013257249724119902,5.555555555555555,0.0,1.9230769230769231
uniform,10,4,510003,"[(2, 5), (4, 11), (5, 15), (6, 1), (6, 11), (9, 7), (9, 13), (10, 1), (11, 3), (12, 3)]",92.0,0.0008011669851839542,134.0,45.65217391304348,9.6083153039217e-05,136.0,47.82608695652174,8.5457693785429e-05,92.0,0.0,8.77920538187027e-05,True,False,True,False,136.0,136.0,47.82608695652174,136,136,0,0.0,10,0,1.0,0.015098874922841787,-1.4925373134328357,0.0,-47.82608695652174
uniform,10,5,510004,"[(1, 5), (3, 13), (4, 15), (5, 9), (6, 15), (8, 15), (9, 15), (10, 5), (11, 11), (12, 3)]",82.0,0.0006635827012360096,108.0,31.70731707317073,8.562486618757248e-05,130.0,58.536585365853654,8.458318188786507e-05,84.0,2.4390243902439024,8.562486618757248e-05,True,False,True,False,130.0,130.0,58.536585365853654,130,130,0,0.0,10,0,1.0,0.014832499902695417,-20.37037037037037,0.0,-54.761904761904766
uniform,10,6,510005,"[(1, 5), (3, 1), (4, 7), (5, 9), (6, 13), (7, 1), (8, 7), (8, 15), (10, 5), (11, 7)]",100.0,0.0007199160754680634,108.0,8.0,8.699996396899223e-05,124.0,24.0,8.154194802045822e-05,104.0,4.0,8.320808410644531e-05,True,False,True,False,124.0,124.0,24.0,124,124,0,0.0,10,0,1.0,0.013702708296477795,-14.814814814814813,0.0,-19.230769230769234
uniform,10,7,510006,"[(2, 1), (3, 11), (4, 1), (4, 7), (6, 3), (7, 9), (8, 3), (10, 1), (10, 15), (12, 15)]",94.0,0.0007525826804339886,108.0,14.893617021276595,9.316625073552132e-05,118.0,25.53191489361702,8.450029417872429e-05,96.0,2.127659574468085,8.587539196014404e-05,True,False,True,False,118.0,118.0,25.53191489361702,118,118,0,0.0,10,0,1.0,0.014727500267326832,-9.25925925925926,0.0,-22.916666666666664
uniform,10,8,510007,"[(3, 9), (5, 3), (5, 15), (6, 11), (8, 7), (8, 15), (9, 5), (9, 13), (9, 15), (11, 11)]",102.0,0.0007168748416006565,134.0,31.372549019607842,8.925003930926323e-05,138.0,35.294117647058826,8.308375254273415e-05,102.0,0.0,8.808402344584465e-05,True,False,True,False,138.0,138.0,35.294117647058826,138,138,0,0.0,10,0,1.0,0.015203249640762806,-2.9850746268656714,0.0,-35.294117647058826
uniform,10,9,510008,"[(2, 13), (4, 3), (5, 1), (6, 3), (6, 5), (8, 1), (8, 13), (8, 15), (9, 3), (12, 15)]",92.0,0.00069770822301507,108.0,17.391304347826086,8.925003930926323e-05,116.0,26.08695652173913,8.412497118115425e-05,100.0,8.695652173913043,8.375011384487152e-05,True,False,True,False,116.0,116.0,26.08695652173913,116,116,0,0.0,10,0,1.0,0.012521249707788229,-7.4074074074074066,0.0,-16.0
uniform,10,10,510009,"[(4, 1), (5, 11), (6, 3), (6, 7), (6, 11), (7, 9), (9, 1), (9, 7), (10, 5), (11, 1)]",92.0,0.0006087920628488064,100.0,8.695652173913043,9.679188951849937e-05,120.0,30.434782608695656,8.483370766043663e-05,92.0,0.0,8.641695603728294e-05,True,False,True,False,120.0,120.0,30.434782608695656,120,120,0,0.0,10,0,1.0,0.012911000289022923,-20.0,0.0,-30.434782608695656
