distribution,order_size,condition_index,seed,heuristic,exact_distance,dqn_distance,heuristic_distance,dqn_minus_heuristic_distance,dqn_improvement_percent,dqn_optimality_gap,dqn_better_than_heuristic,same_distance
uniform,20,10,530009,Return,118.0,176.0,176.0,0.0,0.0,49.152542372881356,False,True
uniform,20,10,530009,Largest Gap,118.0,176.0,122.0,54.0,-44.26229508196721,49.152542372881356,False,False
uniform,20,11,530010,S-shape,118.0,152.0,134.0,18.0,-13.432835820895523,28.8135593220339,False,False
uniform,20,11,530010,Return,118.0,152.0,152.0,0.0,0.0,28.8135593220339,False,True
uniform,20,11,530010,Largest Gap,118.0,152.0,130.0,22.0,-16.923076923076923,28.8135593220339,False,False
uniform,20,12,530011,S-shape,122.0,148.0,134.0,14.0,-10.44776119402985,21.311475409836063,False,False
uniform,20,12,530011,Return,122.0,148.0,148.0,0.0,0.0,21.311475409836063,False,True
uniform,20,12,530011,Largest Gap,122.0,148.0,132.0,16.0,-12.121212121212121,21.311475409836063,False,False
uniform,20,13,530012,S-shape,114.0,162.0,134.0,28.0,-20.8955223880597,42.10526315789473,False,False
uniform,20,13,530012,Return,114.0,162.0,162.0,0.0,0.0,42.10526315789473,False,True
uniform,20,13,530012,Largest Gap,114.0,162.0,134.0,28.0,-20.8955223880597,42.10526315789473,False,False
uniform,20,14,530013,S-shape,108.0,158.0,134.0,24.0,-17.91044776119403,46.2962962962963,False,False
uniform,20,14,530013,Return,108.0,158.0,158.0,0.0,0.0,46.2962962962963,False,True
uniform,20,14,530013,Largest Gap,108.0,158.0,110.0,48.0,-43.63636363636363,46.2962962962963,False,False
uniform,20,15,530014,S-shape,118.0,150.0,134.0,16.0,-11.940298507462686,27.11864406779661,False,False
uniform,20,15,530014,Return,118.0,150.0,150.0,0.0,0.0,27.11864406779661,False,True
uniform,20,15,530014,Largest Gap,118.0,150.0,124.0,26.0,-20.967741935483872,27.11864406779661,False,False
uniform,20,16,530015,S-shape,94.0,148.0,104.0,44.0,-42.30769230769231,57.446808510638306,False,False
uniform,20,16,530015,Return,94.0,148.0,148.0,0.0,0.0,57.446808510638306,False,True
uniform,20,16,530015,Largest Gap,94.0,148.0,94.0,54.0,-57.446808510638306,57.446808510638306,False,False
uniform,20,17,530016,S-shape,106.0,162.0,134.0,28.0,-20.8955223880597,52.83018867924528,False,False
uniform,20,17,530016,Return,106.0,162.0,162.0,0.0,0.0,52.83018867924528,False,True
uniform,20,17,530016,Largest Gap,106.0,162.0,130.0,32.0,-24.615384615384617,52.83018867924528,False,False
uniform,20,18,530017,S-shape,122.0,164.0,134.0,30.0,-22.388059701492537,34.42622950819672,False,False
uniform,20,18,530017,Return,122.0,164.0,164.0,0.0,0.0,34.42622950819672,False,True
uniform,20,18,530017,Largest Gap,122.0,164.0,124.0,40.0,-32.25806451612903,34.42622950819672,False,False
uniform,20,19,530018,S-shape,100.0,142.0,130.0,12.0,-9.230769230769232,42.0,False,False
uniform,20,19,530018,Return,100.0,142.0,142.0,0.0,0.0,42.0,False,True
uniform,20,19,530018,Largest Gap,100.0,142.0,108.0,34.0,-31.48148148148148,42.0,False,False
uniform,20,20,530019,S-shape,122.0,176.0,134.0,42.0,-31.343283582089555,44.26229508196721,False,False
uniform,20,20,530019,Return,122.0,176.0,176.0,0.0,0.0,44.26229508196721,False,True
uniform,20,20,530019,Largest Gap,122.0,176.0,132.0,44.0,-33.33333333333333,44.26229508196721,False,False
uniform,20,21,530020,S-shape,118.0,160.0,134.0,26.0,-19.402985074626866,35.59322033898305,False,False
uniform,20,21,530020,Return,118.0,160.0,160.0,0.0,0.0,35.59322033898305,False,True
uniform,20,21,530020,Largest Gap,118.0,160.0,140.0,20.0,-14.285714285714285,35.59322033898305,False,False
uniform,20,23,530022,S-shape,112.0,160.0,134.0,26.0,-19.402985074626866,42.857142857142854,False,False
uniform,20,23,530022,Return,112.0,160.0,160.0,0.0,0.0,42.857142857142854,False,True
